GJA5-1697	hemB	delta-aminolevulinic acid dehydratase	
GJA5-1517	SAR1553	hypothetical protein	
GJA5-2320	SAR2340	acetyltransferase (GNAT) family protein	
GJA5-823	SAR0849	hypothetical protein	
GJA5-1518	SAR1554	hypothetical protein	
GJA5-375	SAR0389	hypothetical protein	
GJA5-2321	glcU	glucose uptake protein	
GJA5-299	SAR0310	nucleoside permease	
GJA5-1519	SAR1555	regulatory protein	
GJA5-2322	SAR2342	hypothetical protein	
GJA5-499	hslO	Hsp33-like chaperonin	
GJA5-1011	purM	phosphoribosylaminoimidazole synthetase	
GJA5-1520	SAR1556	regulatory protein	
GJA5-2323	SAR2343	hypothetical protein	
GJA5-1521	SAR1557	hypothetical protein	
GJA5-2324	SAR2344	hypothetical protein	
GJA5-1132	SAR1165	hypothetical protein	
GJA5-1522	SAR1558	lipoprotein	
GJA5-2325	SAR2345	AcrB/AcrD/AcrF family protein	
GJA5-1523	SAR1559	hypothetical protein	
GJA5-897	SAR0925	hypothetical protein	
GJA5-2326	fmhB	peptidoglycan pentaglycine interpeptide biosynthesis protein	
GJA5-1524	SAR1560	hypothetical protein	
GJA5-2327	SAR2347	hypothetical protein	
GJA5-631	SAR0638	hypothetical protein	
GJA5-1525	SAR1561	hypothetical protein	
GJA5-2328	SAR2348	hypothetical protein	
GJA5-824	SAR0850	hypothetical protein	
GJA5-1526	SAR1562	phage integrase	
GJA5-376	SAR0390	hypothetical protein	
GJA5-2329	SAR2349	MarR family regulatory protein	Q6GEG9
GJA5-300	SAR0311	sodium:solute symporter family protein	
GJA5-1527	srrB	sensor kinase	
GJA5-2330	SAR2350	transporter protein	
GJA5-500	SAR0514	O-acetylserine (thiol)-lyase	
GJA5-1012	purN	phosphoribosylglycinamide formyltransferase	
GJA5-1528	srrA	response regulator protein	
GJA5-2331	SAR2351	hypothetical protein	
GJA5-1529	rluB	ribosomal large subunit pseudouridine synthase B	
GJA5-1133	SAR1166	hypothetical protein	
GJA5-2332	moaA	molybdenum cofactor biosynthesis protein A	
GJA5-1530	SAR1570	hypothetical protein	
GJA5-2333	mobA	molybdopterin-guanine dinucleotide biosynthesis protein MobA	
GJA5-934	spxA	Spx family transcriptional regulator	
GJA5-1531	SAR1571	hypothetical protein	
GJA5-2334	moaD	molybdopterin-synthase small subunit	
GJA5-1532	SAR1572	hypothetical protein	
GJA5-2335	moaE	molybdopterin-synthase large subunit	
GJA5-632	SAR0641	ABC transporter	
GJA5-1533	xerD	integrase/recombinase	
GJA5-825	SAR0851	hypothetical protein	
GJA5-2336	mobB	molybdopterin-guanine dinucleotide biosynthesis protein B	
GJA5-1534	fur	iron uptake regulatory protein	
GJA5-301	SAR0312	N-acetylneuraminate lyase	
GJA5-2337	moeA	molybdenum cofactor biosynthesis protein	
GJA5-1535	SAR1575	ADP-ribose pyrophosphatase	
GJA5-501	folP	dihydropteroate synthase	
GJA5-1013	purH	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	
GJA5-2338	moaC	molybdenum cofactor biosynthesis protein MoaC	
GJA5-1536	SAR1576	aldo/keto reductase	
GJA5-2339	moaB	molybdenum cofactor biosynthesis protein B	
GJA5-1537	SAR1577	hypothetical protein	
GJA5-1134	SAR1167	hypothetical protein	
GJA5-2340	moeB	molybdopterin synthase sulfurylase	
GJA5-1538	SAR1578	short chain dehydrogenase	
GJA5-1650	SARs016	GJA5-1650-RNA	
GJA5-2341	modC	molybdenum transport ATP-binding protein	
GJA5-1539	SAR1579	pyrroline-5-carboxylate reductase	
GJA5-898	spsA	signal peptidase Ia	
GJA5-588	SAR0591	hypothetical protein	
GJA5-2342	modB	molybdenum ABC transporter permease	
GJA5-1540	SAR1581	hypothetical protein	
GJA5-1914	SARt037	tRNA-Ser	
GJA5-633	SAR0642	ABC transporter permease	
GJA5-2343	modA	molybdate-binding lipoprotein precursor	
GJA5-1541	zwf	glucose-6-phosphate 1-dehydrogenase	
GJA5-826	SAR0852	hypothetical protein	
GJA5-2344	SAR2364	formate dehydrogenase accessory protein	
GJA5-1542	SAR1583	AraC family transcription regulator	
GJA5-378	SAR0392	hypothetical protein	
GJA5-302	SAR0313	ROK family protein	
GJA5-2345	SAR2365	acetyltransferase (GNAT) family protein	
GJA5-1543	malA	alpha-D-1,4-glucosidase	
GJA5-502	folB	dihydroneopterin aldolase	
GJA5-1014	purD	phosphoribosylamine--glycine ligase	
GJA5-2346	SAR2366	BioY family protein	
GJA5-1544	malR	maltose operon transcriptional repressor	
GJA5-2347	SAR2367	inosine-uridine preferring nucleoside hydrolase	
GJA5-1545	SAR1586	glyoxalase/bleomycin resistance protein/dioxygenase superfamily protein	
GJA5-1135	SAR1168	hypothetical protein	
GJA5-2348	SAR2368	ferrichrome-binding lipoprotein precursor	
GJA5-1546	SAR1587	PfkB family carbohydrate kinase	
GJA5-935	SAR0966	adaptor protein	
GJA5-2349	SAR2369	hypothetical protein	
GJA5-1547	gnd	6-phosphogluconate dehydrogenase	
GJA5-2350	SAR2370	hypothetical protein	
GJA5-1548	SAR1590	peptidase	
GJA5-2351	SAR2371	hypothetical protein	
GJA5-634	SAR0643	ABC transporter ATP-binding protein	
GJA5-1549	SAR1591	hypothetical protein	
GJA5-506	SARt004	tRNA-Val	
GJA5-827	SAR0853	hypothetical protein	
GJA5-2352	ureA	urease subunit gamma	
GJA5-1550	SAR1592	hypothetical protein	Q6GGI4
GJA5-379	SAR0393	hypothetical protein	
GJA5-303	SAR0314	hypothetical protein	
GJA5-2353	ureB	urease subunit beta	
GJA5-1551	bfmB	lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex	
GJA5-503	folK	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase	
GJA5-1015	SAR1049	cobalt transport protein	
GJA5-2354	ureC	urease subunit alpha	
GJA5-1552	bfmBAB	2-oxoisovalerate dehydrogenase subunit beta	
GJA5-2355	ureE	urease accessory protein UreE	
GJA5-1553	bfmBAA	2-oxoisovalerate dehydrogenase subunit alpha	
GJA5-1137	ileS	isoleucyl-tRNA synthetase	
GJA5-2356	ureF	urease accessory protein UreF	
GJA5-1554	bfmBC	dihydrolipoamide dehydrogenase	
GJA5-2357	ureG	urease accessory protein UreG	
GJA5-1555	SAR1597	DNA repair protein	
GJA5-899	spsB	signal peptidase Ib	
GJA5-2358	ureD	urease accessory protein UreD	
GJA5-1556	argR	arginine repressor	
GJA5-2119	ilvA	threonine dehydratase	
GJA5-635	sirR	metalloregulator	
GJA5-2359	sarR	accessory regulator A	
GJA5-1557	SAR1599	geranyltranstransferase	
GJA5-828	SAR0854	hypothetical protein	
GJA5-2360	SAR2380	hypothetical protein	
GJA5-1558	SAR1600	exodeoxyribonuclease VII small subunit	
GJA5-380	SAR0394	phosphoglycerate mutase	
GJA5-304	SAR0315	N-acetylmannosamine-6-phosphate 2-epimerase	
GJA5-2361	SAR2381	hypothetical protein	
GJA5-1559	xseA	exodeoxyribonuclease VII large subunit	
GJA5-504	lysS	lysyl-tRNA synthetase	
GJA5-1016	SAR1050	ABC transporter ATP-binding protein	
GJA5-2362	SAR2382	transcriptional regulator	
GJA5-1560	nusB	transcription antitermination protein NusB	
GJA5-2363	SAR2383	hypothetical protein	
GJA5-1561	SAR1603	hypothetical protein	
GJA5-1138	SAR1170	transposase	
GJA5-2364	SAR2384	hypothetical protein	
GJA5-1562	accC	acetyl-CoA carboxylase biotin carboxylase subunit	
GJA5-936	SAR0967	hypothetical protein	
GJA5-2365	SAR2385	Na+/H+ antiporter	
GJA5-1563	accB	biotin carboxyl carrier protein of acetyl-CoA carboxylase	
GJA5-2366	SAR2386	dehydrogenase	
GJA5-1564	efp	elongation factor P	
GJA5-2367	SAR2387	hypothetical protein	
GJA5-636	SAR0645	hypothetical protein	
GJA5-1565	SAR1607	peptidase	
GJA5-829	SAR0855	hypothetical protein	
GJA5-2368	SAR2388	hypothetical protein	
GJA5-1566	SAR1608	hypothetical protein	
GJA5-381	SAR0395	hypothetical protein	
GJA5-2141	kdpA	potassium-transporting ATPase subunit A	
GJA5-305	SAR0316	hypothetical protein	
GJA5-2369	SAR2389	glycerate dehydrogenase	Q6GEC9
GJA5-1567	SAR1609	hypothetical protein	
GJA5-518	SAR0519	insertion element protein	
GJA5-2370	SAR2390	hypothetical protein	
GJA5-1017	SAR1051	hypothetical protein	
GJA5-1568	SAR1610	lipoate-protein ligase A protein	
GJA5-2371	SAR2391	N-acetylmuramoyl-L-alanine amidase	
GJA5-1569	SAR1611	hypothetical protein	
GJA5-1139	SAR1171	glyoxalase/bleomycin resistance protein/dioxygenase superfamily protein	
GJA5-2372	SAR2391a	hypothetical protein	
GJA5-1570	SAR1612	glycine dehydrogenase subunit 2	
GJA5-1711	SARs017	GJA5-1711-RNA	
GJA5-2373	SAR2392	hypothetical protein	
GJA5-1571	SAR1613	glycine dehydrogenase subunit 1	
GJA5-900	SAR0928	hypothetical protein	
GJA5-2374	SAR2393	bifunctional protein GlmU	Q6GEC4
GJA5-1572	gcvT	glycine cleavage system aminomethyltransferase T	
GJA5-2220	mtlD	mannitol-1-phosphate 5-dehydrogenase	
GJA5-2375	SAR2394	hypothetical protein	
GJA5-637	tagA	teichoic acid biosynthesis protein	
GJA5-1573	SAR1615	shikimate kinase	
GJA5-830	SAR0856	phosphoglycerate mutase	
GJA5-2376	SAR2395	inositol monophosphatase	
GJA5-1574	SAR1616	hypothetical protein	
GJA5-382	SAR395a	hypothetical protein	
GJA5-1955	SAR1973	hypothetical protein	
GJA5-306	geh	lipase precursor	
GJA5-2377	SAR2396	DeoR family regulatory protein	
GJA5-1575	SAR1617	hypothetical protein	
GJA5-519	SAR0520	insertion element protein	
GJA5-2378	SAR2397	hypothetical protein	
GJA5-1019	SAR1052	hypothetical protein	
GJA5-1576	SAR1618	hypothetical protein	
GJA5-2379	SAR2398	hypothetical protein	
GJA5-1577	SAR1619	hypothetical protein	
GJA5-1140	lspA	lipoprotein signal peptidase	
GJA5-507	SARt005	tRNA-Thr	
GJA5-2380	SAR2399	transcriptional regulator	
GJA5-1578	SAR1620	hypothetical protein	
GJA5-937	pepB	oligopeptidase	
GJA5-2381	SAR2400	amino acid permease	
GJA5-1579	SAR1621	hypothetical protein	
GJA5-2382	SAR2401	hypothetical protein	
GJA5-1580	SAR1622	metallo-beta-lactamase superfamily protein	
GJA5-2383	SAR2402	hypothetical protein	
GJA5-638	tagH	teichoic acids export protein ATP-binding subunit	
GJA5-1581	SAR1623	hypothetical protein	
GJA5-831	SAR0857	LysE type translocator protein	
GJA5-2384	SAR2403	hypothetical protein	
GJA5-1582	glkA	glucokinase	
GJA5-383	SAR0396	hypothetical protein	
GJA5-307	SAR0318	hypothetical protein	
GJA5-2385	SAR2404	haloacid dehalogenase-like hydrolase	
GJA5-1583	SAR1625	hypothetical protein	
GJA5-520	SAR0521	GntR family transcriptional regulator	
GJA5-2386	SAR2407	hypothetical protein	
GJA5-1020	SAR1053	hypothetical protein	
GJA5-1584	SAR1626	hypothetical protein	
GJA5-2387	SAR2408	PTS system, arbutin-like IIBC component	
GJA5-1585	SAR1627	5-formyltetrahydrofolate cyclo-ligase	
GJA5-1141	SAR1173	RNA pseudouridylate synthase	
GJA5-2388	SAR2409	transcriptional regulator	
GJA5-1586	rpmG	50S ribosomal protein L33	
GJA5-2389	SAR2410	hypothetical protein	
GJA5-1587	pbpF	penicillin-binding protein 3	
GJA5-901	SAR0929	hypothetical protein	
GJA5-2390	SAR2411	transporter	
GJA5-1588	sodA	superoxide dismutase	
GJA5-1915	SARt038	tRNA-Asp	
GJA5-712	SAR0737	ABC transporter ATP-binding protein	
GJA5-2392	SAR2412	hypothetical protein	
GJA5-639	tagG	teichoic acid ABC transporter permease	
GJA5-1589	zur	zinc-specific metalloregulatory protein	
GJA5-832	SAR0858	hypothetical protein	
GJA5-2393	SAR2413	short chain dehydrogenase	
GJA5-1590	mreB	ABC transporter permease	
GJA5-384	SAR0397	hypothetical protein	
GJA5-308	SAR0319	NADH:flavin oxidoreductase / NADH oxidase	
GJA5-2394	hutI	imidazolonepropionase	
GJA5-1591	mreA	ABC transporter ATP-binding protein	
GJA5-521	SAR0522	pyridoxal biosynthesis lyase PdxS	
GJA5-1021	SAR1054	hypothetical protein	
GJA5-2395	hutU	urocanate hydratase	
GJA5-1592	SAR1634	endonuclease IV	
GJA5-2396	SAR2418	LysR family regulatory protein	
GJA5-1593	SAR1635	helicase	
GJA5-1142	pyrR	bifunctional pyrimidine regulatory protein PyrR/uracil phosphoribosyltransferase	
GJA5-2397	fosB	fosfomycin resistance protein FosB	
GJA5-1594	SAR1636	hypothetical protein	Q6GGE0
GJA5-938	SAR0969	hypothetical protein	
GJA5-2398	SAR2420	formimidoylglutamase	
GJA5-1713	SARs018	GJA5-1713-RNA	
GJA5-1595	SAR1637	hypothetical protein	
GJA5-2399	SAR2421	hypothetical protein	
GJA5-1596	rpoD	RNA polymerase sigma factor RpoD	
GJA5-713	SAR0738	ABC transporter ATP-binding protein	
GJA5-2400	SAR2422	ribose-5-phosphate isomerase A	
GJA5-640	tagB	teichoic acid biosynthesis protein	
GJA5-1597	dnaG	DNA primase	
GJA5-2401	SAR2423	hypothetical protein	
GJA5-833	SAR0859	OsmC-like protein	Q6GII8
GJA5-1598	SAR1640	hypothetical protein	Q6GGD6
GJA5-385	ahpF	alkyl hydroperoxide reductase subunit F	
GJA5-309	SAR0320	luciferase	
GJA5-2402	SAR2424	aldose 1-epimerase	
GJA5-1599	SAR1642	glycyl-tRNA synthetase	
GJA5-522	SAR0523	glutamine amidotransferase subunit PdxT	
GJA5-1022	SAR1055	hypothetical protein	
GJA5-1600	SAR1643	recombination protein O	
GJA5-2403	SAR2425	hypothetical protein	Q6GE96
GJA5-1601	era	GTP-binding protein Era	
GJA5-2404	SAR2426	hypothetical protein	
GJA5-1143	pyrP	uracil permease	
GJA5-1602	cdd	cytidine deaminase	
GJA5-2405	SAR2427	ABC transporter ATP-binding protein	
GJA5-2406	SAR2428	hypothetical protein	
GJA5-1603	SAR1646	diacylglycerol kinase	
GJA5-902	SAR0930	fumarylacetoacetate (FAA) hydrolase	Q6GIC0
GJA5-1604	SAR1647	hypothetical protein	
GJA5-2407	SAR2428a	hypothetical protein	
GJA5-714	SAR0739	MarR family regulatory protein	
GJA5-641	SAR0650	glycosyl transferase family protein	
GJA5-1605	SAR1648	PhoH-like protein	
GJA5-2408	SAR2428b	hypothetical protein	
GJA5-834	SAR0860	3-dehydroquinate dehydratase	
GJA5-386	ahpC	alkyl hydroperoxide reductase subunit C	
GJA5-1606	SAR1649	hypothetical protein	
GJA5-2409	SAR2429	3-methylpurine glycosylase	Q6GE90
GJA5-310	SAR0321	glycine cleavage H-protein	
GJA5-1607	SAR1650	hypothetical protein	Q6GGC7
GJA5-2410	SAR2430	permease	
GJA5-523	nupC	nucleoside permease	
GJA5-1023	ptsH	phosphocarrier protein HPr	
GJA5-1608	SAR1651	hypothetical protein	
GJA5-2411	fni	isopentenyl pyrophosphate isomerase	
GJA5-1609	rpsU	30S ribosomal protein S21	
GJA5-2412	SAR2432	CorA-like Mg2+ transporter protein	
GJA5-1144	pyrB	aspartate carbamoyltransferase catalytic subunit	
GJA5-1610	SAR1653	hypothetical protein	
GJA5-2413	SAR2433	hypothetical protein	
GJA5-1611	SAR1654	16S ribosomal RNA methyltransferase RsmE	
GJA5-2414	SAR2434	hypothetical protein	
GJA5-1612	prmA	50S ribosomal protein L11 methyltransferase	
GJA5-2415	SAR2435	hypothetical protein	
GJA5-715	SAR0740	cobalamin synthesis protein	
GJA5-642	tagD	glycerol-3-phosphate cytidylyltransferase	
GJA5-1613	dnaJ	chaperone protein DnaJ	
GJA5-2416	SAR2436	hypothetical protein	
GJA5-835	SAR0861	nitroreductase	
GJA5-387	SAR0400	nitroreductase	
GJA5-1614	dnaK	molecular chaperone DnaK	
GJA5-2417	SAR2437	transporter	
GJA5-311	SAR0322	hypothetical protein	Q6GJZ1
GJA5-1615	grpE	heat shock protein GrpE	
GJA5-2418	SAR2438	hypothetical protein	
GJA5-524	SAR0525	DNA-binding protein	
GJA5-1024	ptsI	phosphoenolpyruvate-protein phosphotransferase	
GJA5-1616	hrcA	heat-inducible transcription repressor	
GJA5-2419	SAR2439	TetR family regulatory protein	
GJA5-1617	SAR1660	coproporphyrinogen III oxidase	
GJA5-2420	tcaB	teicoplanin resistance associated membrane protein	
GJA5-1145	pyrC	dihydroorotase	
GJA5-1618	lepA	GTP-binding protein LepA	
GJA5-2421	tcaA	teicoplanin resistance associated membrane protein	
GJA5-903	SAR0931	hypothetical protein	Q6GIB9
GJA5-1619	rpsT	30S ribosomal protein S20	
GJA5-2422	tcaR	MarR family regulatory protein	
GJA5-1620	holA	DNA polymerase III subunit delta	
GJA5-2423	SAR2444	hypothetical protein	
GJA5-716	SAR0741	aldo/keto reductase	
GJA5-643	pbp4	penicillin-binding protein 4	
GJA5-1621	SAR1665	hypothetical protein	
GJA5-2424	SAR2445	ABC transporter ATP-binding protein	
GJA5-836	SAR0862	thioredoxin	
GJA5-1622	SAR1666	deaminase	
GJA5-388	SAR0401	sodium:dicarboxylate symporter protein	
GJA5-312	SAR0323	hypothetical protein	
GJA5-1623	SAR1667	hypothetical protein	
GJA5-525	SAR0526	hypothetical protein	
GJA5-1025	SAR1058	glutaredoxin	
GJA5-1624	SAR1668	hypothetical protein	
GJA5-1625	SAR1669	hypothetical protein	
GJA5-1146	pyrAA	carbamoyl phosphate synthase small subunit	
GJA5-508	SARt006	tRNA-Lys	
GJA5-1626	SAR1670	hypothetical protein	
GJA5-940	SAR0971	hypothetical protein	
GJA5-1627	SAR1671	hypothetical protein	
GJA5-1628	SAR1672	hypothetical protein	
GJA5-1916	SARt039	tRNA-Ser	
GJA5-717	SAR0742	hypothetical protein	
GJA5-644	SAR0653	ABC transporter ATP-binding protein	
GJA5-1629	aroE	shikimate 5-dehydrogenase	
GJA5-837	SAR0863	hypothetical protein	
GJA5-1630	SAR1674	GTP-binding protein YqeH	
GJA5-389	SAR0401a	hypothetical protein	
GJA5-313	SAR0324	lipoate-protein ligase A	
GJA5-1631	SAR1675	hypothetical protein	
GJA5-526	SAR0527	ATP:guanido phosphotransferase	
GJA5-1026	SAR1059	cytochrome ubiquinol oxidase	
GJA5-1632	pfs	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	
GJA5-1633	SAR1677	hypothetical protein	
GJA5-1147	carB	carbamoyl phosphate synthase large subunit	
GJA5-1634	SAR1680	hypothetical protein	
GJA5-1758	SARs019	GJA5-1758-RNA	
GJA5-1635	SAR1683	hypothetical protein	
GJA5-904	SAR0932	transposase	
GJA5-1636	SAR1684	LamB/YcsF family protein	Q6GG98
GJA5-718	SAR0743	sodium:sulfate symporter protein	
GJA5-645	SAR0655	Na+ dependent nucleoside transporter	
GJA5-1637	SAR1685	biotin carboxylase	
GJA5-838	gcvH	glycine cleavage system protein H	
GJA5-1638	SAR1686	biotin carboxyl carrier protein of acetyl-CoA carboxylase	
GJA5-390	SAR0402	hypothetical protein	
GJA5-314	SAR0325	reductase	
GJA5-1639	SAR1687	hypothetical protein	
GJA5-527	clpC	stress response-related Clp ATPase	
GJA5-1027	SAR1060	hypothetical protein	
GJA5-1640	SAR1688	hypothetical protein	
GJA5-1	dnaA	chromosomal replication initiation protein	
GJA5-1641	greA	transcription elongation factor GreA	
GJA5-1148	pyrF	orotidine 5'-phosphate decarboxylase	
GJA5-1642	udk	uridine kinase	
GJA5-941	SAR0972	hypothetical protein	Q6GI81
GJA5-1643	SAR1691	peptidase	
GJA5-1644	SAR1692	peptidase	
GJA5-719	SAR0744	DNA photolyase	
GJA5-646	SAR0656	hypothetical protein	
GJA5-1645	SAR1693	O-methyltransferase	
GJA5-839	SAR0865	hypothetical protein	
GJA5-1646	SAR1694	hypothetical protein	Q6GG88
GJA5-391	SAR0403	hypothetical protein	
GJA5-315	ulaA	PTS system ascorbate-specific transporter subunit IIC	
GJA5-1647	SAR1695	Holliday junction resolvase-like protein	Q6GG87
GJA5-528	radA	DNA repair protein RadA	
GJA5-1028	SAR1061	potassium transport protein	
GJA5-1648	SAR1696	hypothetical protein	Q6GG86
GJA5-2	dnaN	DNA polymerase III subunit beta	
GJA5-1649	alaS	alanyl-tRNA synthetase	
GJA5-1149	pyrE	orotate phosphoribosyltransferase	
GJA5-1651	SAR1698	hypothetical protein	
GJA5-2176	glyA	serine hydroxymethyltransferase	
GJA5-1652	SAR1699	hypothetical protein	
GJA5-905	SAR0933	coenzyme A disulfide reductase	
GJA5-1653	mnmA	tRNA-specific 2-thiouridylase MnmA	
GJA5-720	SAR0745	hypothetical protein	
GJA5-647	fhuA	ferrichrome transport ATP-binding protein	
GJA5-1654	SAR1702	cysteine desulfurase	
GJA5-840	SAR0867	hypothetical protein	
GJA5-1655	SAR1703	oxygenase	
GJA5-392	SAR0404	hypothetical protein	
GJA5-316	SAR0327	PTS transporter	
GJA5-1656	SAR1704	hypothetical protein	
GJA5-529	SAR0530	hypothetical protein	
GJA5-1029	SAR1063	hypothetical protein	
GJA5-1657	SAR1705	hypothetical protein	Q6GG78
GJA5-3	SAR0003	hypothetical protein	
GJA5-1658	SAR1706	hypothetical protein	
GJA5-1150	SAR1182	hypothetical protein	
GJA5-1659	SAR1707	recombination factor protein RarA	
GJA5-942	SAR0973	GTP pyrophosphokinase	
GJA5-1806	SARs020	GJA5-1806-RNA	
GJA5-1660	SAR1708	hypothetical protein	
GJA5-1098	SAR1131	hypothetical protein	
GJA5-1661	SAR1709	hypothetical protein	
GJA5-1917	SARt040	tRNA-Met	
GJA5-721	SAR0746	hypothetical protein	
GJA5-648	fhuB	ferrichrome transport permease	
GJA5-1662	aspS	aspartyl-tRNA synthetase	
GJA5-841	SAR0868	hypothetical protein	
GJA5-393	SAR0405	hypothetical protein	Q6GJR0
GJA5-1663	hisS	histidyl-tRNA synthetase	
GJA5-317	SAR0328	PTS transport system IIA component	
GJA5-530	gltX	glutamyl-tRNA synthetase	
GJA5-1030	SAR1064	hypothetical protein	Q6GHZ5
GJA5-4	recF	recombination protein F	
GJA5-1664	SAR1713	D-tyrosyl-tRNA(Tyr) deacylase	
GJA5-1151	SAR1183	hypothetical protein	
GJA5-509	SARt007	tRNA-Gly	
GJA5-1665	relA	GTP pyrophosphokinase	
GJA5-906	SAR0934	haloacid dehalogenase-like hydrolase	
GJA5-722	SAR0747	hypothetical protein	
GJA5-1666	apt	adenine phosphoribosyltransferase	
GJA5-649	fhuD	ferrichrome transport permease	
GJA5-843	SAR0870	ABC transporter ATP-binding protein	
GJA5-395	xpt	xanthine phosphoribosyltransferase	
GJA5-1667	SAR1716	single-stranded-DNA-specific exonuclease	
GJA5-531	cysE	serine acetyltransferase	
GJA5-1031	def	peptide deformylase	
GJA5-5	gyrB	DNA gyrase subunit B	
GJA5-1668	secF	bifunctional preprotein translocase subunit SecD/SecF	
GJA5-1152	SAR1184	hypothetical protein	
GJA5-1669	SAR1718	hypothetical protein	
GJA5-943	ppnK	inorganic polyphosphate/ATP-NAD kinase	
GJA5-723	norA	fluoroquinolone resistance protein	
GJA5-1670	tgt	queuine tRNA-ribosyltransferase	
GJA5-650	SAR0660	dihydroxyacetone kinase subunit DhaK	
GJA5-844	SAR0871	ABC transporter permease	
GJA5-396	pbuX	xanthine permease	
GJA5-1671	queA	S-adenosylmethionine--tRNA ribosyltransferase-isomerase	
GJA5-319	SAR0330	MarR family regulatory protein	
GJA5-532	cysS	cysteinyl-tRNA synthetase	
GJA5-1032	SAR1066	hypothetical protein	
GJA5-6	gyrA	DNA gyrase subunit A	
GJA5-1672	ruvB	Holliday junction DNA helicase RuvB	
GJA5-1153	gmk	guanylate kinase	
GJA5-1673	ruvA	Holliday junction DNA helicase RuvA	
GJA5-907	SAR0935	hypothetical protein	
GJA5-724	SAR0749	hypothetical protein	
GJA5-1674	SAR1723	hypothetical protein	Q6GG61
GJA5-651	SAR0661	dihydroxyacetone kinase	
GJA5-845	SAR0872	lipoprotein	
GJA5-397	guaB	inosine-5'-monophosphate dehydrogenase	
GJA5-1675	obgE	GTPase ObgE	
GJA5-320	SAR0331	hypothetical protein	
GJA5-533	SAR0534	hypothetical protein	
GJA5-1033	pdhA	pyruvate dehydrogenase E1 component subunit alpha	
GJA5-7	SAR0007	hypothetical protein	
GJA5-1676	rpmA	50S ribosomal protein L27	
GJA5-1154	rpoZ	DNA-directed RNA polymerase subunit omega	
GJA5-1677	SAR1726	hypothetical protein	
GJA5-944	SAR0975	RNA pseudouridylate synthase	
GJA5-1824	SARs021	GJA5-1824-RNA	
GJA5-725	SAR0750	hypothetical protein	
GJA5-1678	rplU	50S ribosomal protein L21	
GJA5-652	SAR0662	PTS system mannnose-specific transporter subunit IIA	
GJA5-846	SAR0874	hypothetical protein	Q6GIH6
GJA5-398	guaA	GMP synthase	
GJA5-1679	SAR1728	hypothetical protein	
GJA5-321	SAR0332	hypothetical protein	
GJA5-534	yacO	SpoU rRNA methylase	Q6GJD7
GJA5-1034	pdhB	pyruvate dehydrogenase E1 component subunit beta	
GJA5-8	hutH	histidine ammonia-lyase	
GJA5-1680	SAR1729	rod shape-determining protein MreC	
GJA5-1155	SAR1187	flavoprotein	
GJA5-1681	SAR1729a	hypothetical protein	
GJA5-908	SAR0936	hypothetical protein	
GJA5-726	SAR0751	DeoR ramily regulatory protein	
GJA5-1682	SAR1730	hypothetical protein	
GJA5-653	SAR0663	hypothetical protein	
GJA5-847	SAR0875	hypothetical protein	
GJA5-399	SAR0411	hypothetical protein	
GJA5-1683	SAR1731	hypothetical protein	
GJA5-322	glpT	glycerol-3-phosphate transporter	
GJA5-535	SAR0536	hypothetical protein	
GJA5-1035	pdhC	branched-chain alpha-keto acid dehydrogenase E2	
GJA5-10	serS	seryl-tRNA synthetase	
GJA5-1684	SAR1732	hypothetical protein	
GJA5-1156	priA	primosomal protein n'	
GJA5-510	SARt008	tRNA-Leu	
GJA5-1685	SAR1734	hypothetical protein	
GJA5-945	SAR0976	divalent cation transport protein	
GJA5-1918	SARt041	tRNA-Met	
GJA5-727	SAR0752	phosphofructokinase	
GJA5-1686	ermA2	rRNA adenine N-6-methyltransferase 2	
GJA5-654	SAR0664	hypothetical protein	
GJA5-848	SAR0876	ABC transporter ATP-binding protein	
GJA5-400	SAR0414	hypothetical protein	
GJA5-1687	spc2	streptomycin 3''-adenylyltransferase 2	
GJA5-323	SAR0334	dioxygenase	
GJA5-536	sigH	hypothetical protein	
GJA5-1688	tnpC2	transposase C 2	
GJA5-1036	pdhD	dihydrolipoamide dehydrogenase	
GJA5-1689	tnpB2	transposase B 2	
GJA5-11	SAR0010	hypothetical protein	
GJA5-1690	tnpA2	transposase A 2	
GJA5-1157	SAR1189	lipoprotein	
GJA5-909	SAR0937	hypothetical protein	Q6GIB3
GJA5-1691	SAR1741	type III leader peptidase	
GJA5-655	SAR0665	esterase	
GJA5-1692	folC	folylpolyglutamate synthase	
GJA5-849	SAR0877	hypothetical protein	
GJA5-324	SAR0335	luciferase-like monooxygenase	
GJA5-1693	valS	valyl-tRNA synthetase	
GJA5-537	rpmG	50S ribosomal protein L33	
GJA5-1037	SAR1071	hypothetical protein	Q6GHY8
GJA5-12	SAR0011	hypothetical protein	
GJA5-1694	tag	DNA-3-methyladenine glycosylase I	
GJA5-1158	SAR1190	hypothetical protein	
GJA5-946	SAR0977	cation transport protein	
GJA5-1865	SARt017	tRNA-Ser	
GJA5-1695	SAR1745	hypothetical protein	
GJA5-729	SAR0754	N-acetylglucosamine-6-phosphate deacetylase	
GJA5-656	SAR0666	hypothetical protein	
GJA5-1696	hemL	glutamate-1-semialdehyde aminotransferase	
GJA5-850	csdB	selenocysteine lyase	
